current_density_A_cm2,voltage_V,temperature_C,H2O_percent,source
-0.995,1.201,850,50,Ebbesen_Mogensen_2009
-0.963,1.171,850,50,Ebbesen_Mogensen_2009
-0.919,1.141,850,50,Ebbesen_Mogensen_2009
-0.872,1.116,850,50,Ebbesen_Mogensen_2009
-0.832,1.091,850,50,Ebbesen_Mogensen_2009
-0.794,1.068,850,50,Ebbesen_Mogensen_2009
-0.754,1.051,850,50,Ebbesen_Mogensen_2009
-0.721,1.028,850,50,Ebbesen_Mogensen_2009
-0.671,1.005,850,50,Ebbesen_Mogensen_2009
-0.626,0.985,850,50,Ebbesen_Mogensen_2009
-0.568,0.957,850,50,Ebbesen_Mogensen_2009
-0.51,0.935,850,50,Ebbesen_Mogensen_2009
-0.46,0.913,850,50,Ebbesen_Mogensen_2009
-0.392,0.882,850,50,Ebbesen_Mogensen_2009
-0.339,0.865,850,50,Ebbesen_Mogensen_2009
-0.281,0.847,850,50,Ebbesen_Mogensen_2009
-0.221,0.823,850,50,Ebbesen_Mogensen_2009
-0.153,0.797,850,50,Ebbesen_Mogensen_2009
-0.075,0.775,850,50,Ebbesen_Mogensen_2009
