current_density_A_cm2,voltage_V,temperature_C,H2O_percent,source
-0.931,1.244,800,50,Sun_2013
-0.89,1.226,800,50,Sun_2013
-0.844,1.209,800,50,Sun_2013
-0.799,1.191,800,50,Sun_2013
-0.76,1.179,800,50,Sun_2013
-0.704,1.165,800,50,Sun_2013
-0.641,1.144,800,50,Sun_2013
-0.573,1.121,800,50,Sun_2013
-0.514,1.102,800,50,Sun_2013
-0.449,1.086,800,50,Sun_2013
-0.385,1.068,800,50,Sun_2013
-0.327,1.053,800,50,Sun_2013
-0.263,1.035,800,50,Sun_2013
-0.194,1.017,800,50,Sun_2013
-0.136,1.002,800,50,Sun_2013
-0.079,0.985,800,50,Sun_2013
-0.042,0.964,800,50,Sun_2013
-1.405,1.247,850,50,Sun_2013
-1.355,1.234,850,50,Sun_2013
-1.305,1.214,850,50,Sun_2013
-1.249,1.204,850,50,Sun_2013
-1.195,1.188,850,50,Sun_2013
-1.15,1.178,850,50,Sun_2013
-1.077,1.158,850,50,Sun_2013
-1.018,1.145,850,50,Sun_2013
-0.954,1.131,850,50,Sun_2013
-0.895,1.116,850,50,Sun_2013
-0.823,1.102,850,50,Sun_2013
-0.769,1.089,850,50,Sun_2013
-0.709,1.078,850,50,Sun_2013
-0.636,1.063,850,50,Sun_2013
-0.577,1.053,850,50,Sun_2013
-0.517,1.042,850,50,Sun_2013
-0.459,1.032,850,50,Sun_2013
-0.4,1.02,850,50,Sun_2013
-0.332,1.01,850,50,Sun_2013
-0.259,0.999,850,50,Sun_2013
-0.195,0.989,850,50,Sun_2013
-0.136,0.976,850,50,Sun_2013
-0.082,0.967,850,50,Sun_2013
-0.605,1.266,750,50,Sun_2013
-0.59,1.251,750,50,Sun_2013
-0.567,1.237,750,50,Sun_2013
-0.54,1.219,750,50,Sun_2013
-0.5,1.201,750,50,Sun_2013
-0.459,1.177,750,50,Sun_2013
-0.386,1.144,750,50,Sun_2013
-0.327,1.116,750,50,Sun_2013
-0.267,1.088,750,50,Sun_2013
-0.205,1.059,750,50,Sun_2013
-0.136,1.036,750,50,Sun_2013
-0.077,1.007,750,50,Sun_2013
-0.05,0.997,750,50,Sun_2013
